"term","odds_ratio","std.error","wald_statistic","p.value","ci_lower_95","ci_upper_95"
"(Intercept)",0.053,0.1375,-21.3521,0,0.0402,0.069
"age_group30-39",0.7822,0.1672,-1.4686,0.142,0.5642,1.0881
"age_group40-49",0.6218,0.1915,-2.4812,0.0131,0.4256,0.9031
"age_group50-59",0.4097,0.2407,-3.7072,2e-04,0.2518,0.6492
"age_group60+",0.2806,0.3213,-3.9555,1e-04,0.1425,0.5077
"smoking_statusFormer smoker",1.3487,0.2036,1.4694,0.1417,0.8915,1.9848
"smoking_statusCurrent smoker",1.9741,0.2195,3.0989,0.0019,1.2574,2.9826
"policy_typeUniversal Life",0.6592,0.1898,-2.1953,0.0281,0.4498,0.948
"policy_typeVariable Life",0.7248,0.3386,-0.9504,0.3419,0.3504,1.3393
"policy_typeWhole Life",0.4121,0.2338,-3.7919,1e-04,0.2549,0.6397
"premium_income_ratio",1215.6118,2.9667,2.3942,0.0167,2.5527,298649.5067
